feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
25.16,10.0,0,1352.45,0,5,30.17,0
24.68,40.0,0,1092.19,0,4,10.03,0
38.38,81.0,2,401.17,0,4,10.12,1
18.86,48.0,1,1295.71,1,9,23.4,0
30.58,9.0,2,1355.24,1,5,21.71,1
32.34,25.0,1,1218.84,0,1,6.02,0
31.69,44.0,0,869.24,1,2,14.22,0
31.16,11.0,2,1016.31,0,9,11.67,0
33.82,12.0,2,827.87,1,2,1.74,0
36.22,35.0,2,808.61,1,9,47.7,1
31.66,44.0,1,1306.5,0,9,12.36,1
39.12,21.0,2,1164.5,0,5,33.72,0
36.08,27.0,2,984.21,1,8,10.45,0
30.48,45.0,1,1232.4,1,6,35.22,0
29.990843475581585,31.0,2,1117.94,1,8,15.19,0
29.69,11.0,0,631.03,0,5,3.89,0
37.01,42.0,1,1092.312002002773,0,5,0.16,0
27.64,53.0,0,1200.84,1,1,15.84,1
34.75,40.0,1,1030.9,1,2,42.98,1
30.54,67.0,1,1099.72,1,5,8.52,0
20.24,19.0,2,9950.5,1,6,10.06,0
32.67,1.0,0,1050.26,1,8,0.84,0
29.990843475581585,1.0,0,857.9,1,7,88.64,0
29.97,73.0,2,1293.3,0,5,14.77,1
23.08,29.0,0,1027.73,0,8,2.3,0
39.15,0.0,0,1125.64,0,8,1.57,1
29.990843475581585,38.0,1,1000.88,1,8,18.94,0
31.73,74.0,1,948.51,1,1,23.28,0
27.8,56.0,1,710.36,1,7,23.14581921773945,0
34.49,5.0,2,1705.31,1,1,23.14581921773945,0
25.74,77.0,1,742.36,0,8,1.43,1
29.49,15.0,1,720.41,1,1,13.95,0
29.990843475581585,33.0,2,933.24,1,5,63.74,0
23.05,53.0,0,949.28,1,9,22.98,0
32.17,49.436559691912706,2,1767.01,1,6,10.18,1
31.34,83.0,1,1088.63,1,2,23.14581921773945,0
29.15,67.0,1,592.91,1,2,3.42,0
33.6,91.0,1,853.03,1,5,26.88,0
35.41,7.0,2,1444.02,1,3,11.06,0
25.74,51.0,1,1375.57,1,1,6.21,0
21.11,95.0,0,1081.33,0,3,8.74,1
32.51,89.0,1,1088.06,1,6,16.13,1
22.34,56.0,0,1314.31,0,8,13.11,0
32.44,74.0,0,845.98,0,1,30.39,0
29.990843475581585,54.0,0,1271.66,1,8,18.59,0
34.71,34.0,0,1210.86,1,9,1.89,1
30.19,87.0,2,1035.73,1,9,45.0,1
26.55,97.0,0,1192.42,0,9,5.68,0
26.5,89.0,1,1407.9,1,2,14.79,0
18.01,59.0,0,883.16,0,2,0.66,0
30.27,49.436559691912706,2,1016.07,0,8,25.69,0
30.03,49.436559691912706,1,1714.4,0,3,12.94,0
33.27,51.0,0,1478.47,0,3,22.69,1
24.85,57.0,2,10293.6,1,9,13.39,0
30.88,70.0,2,177.83,1,3,2.53,1
28.62,87.0,2,741.26,0,4,64.62,0
29.76,81.0,1,1485.11,0,9,6.15,0
31.74,30.0,1,1106.92,0,9,23.14581921773945,1
29.46,25.0,0,1207.22,0,4,23.14581921773945,1
30.26,67.0,1,1092.312002002773,1,4,10.61,1
32.04,18.0,1,722.42,0,1,29.94,0
29.990843475581585,49.436559691912706,1,1445.59,0,9,4.99,0
24.28,92.0,0,601.26,1,6,19.38,0
25.95,96.0,2,1303.51,1,4,7.64,0
32.43,63.0,2,1126.45,1,8,17.53,0
11.99,25.0,2,1436.99,0,1,4.17,1
27.88,54.0,1,824.45,0,6,23.14581921773945,0
29.990843475581585,38.0,2,665.87,1,8,5.88,0
29.990843475581585,78.0,2,1022.68,1,3,17.93,1
36.14,3.0,0,1393.43,0,3,44.46,0
24.47,53.0,0,539.59,1,7,3.46,0
31.67,3.0,1,928.21,0,9,59.77,1
31.01,47.0,0,656.08,0,1,10.37,0
32.93,88.0,2,1282.85,0,1,1.17,1
32.31,9.0,2,496.82,0,3,87.63,1
34.82,25.0,0,957.74,1,3,22.5,1
29.990843475581585,96.0,0,969.63,0,4,3.36,0
29.07,34.0,1,876.29,1,4,7.69,0
32.39,31.0,0,1041.97,1,4,2.55,0
32.52,21.0,0,1092.312002002773,0,2,8.2,1
28.55,34.0,2,1309.37,1,5,13.69,0
30.46,49.436559691912706,1,1807.34,0,6,15.73,0
31.16,67.0,2,1027.91,1,2,40.33,1
24.21,57.0,0,1369.05,1,5,27.64,1
33.19,21.0,2,587.37,1,1,3.9,1
27.36,92.0,0,1155.83,1,9,5.55,0
32.17,99.0,0,1529.37,1,9,1.96,0
34.02,86.0,2,1434.99,0,7,13.29,0
32.6,7.0,1,619.37,1,4,33.38,0
24.54,8.0,2,1132.46,0,4,74.01,1
25.24,64.0,0,1380.09,0,5,4.79,1
36.0,49.436559691912706,2,1027.47,1,8,2.32,1
34.6,83.0,1,456.46,1,2,67.52,1
36.65,96.0,1,1149.08,1,4,44.58,1
37.69,38.0,0,912.38,1,4,23.14581921773945,1
33.89,44.0,0,669.52,1,2,4.57,0
28.94,40.0,0,1092.312002002773,1,8,1.78,1
24.13,4.0,0,1092.312002002773,0,9,23.59,0
40.22,23.0,2,447.14,1,2,6.62,1
34.17,14.0,2,843.48,1,2,7.76,1
25.09,70.0,0,979.34,0,4,3.98,0
23.14,59.0,1,546.74,0,1,4.81,1
31.87,44.0,1,1029.76,0,3,19.3,1
36.85,94.0,0,1410.25,1,4,5.56,1
30.32,66.0,2,941.66,0,6,99.78,0
28.02,49.0,1,1464.12,0,3,3.51,0
30.89,49.436559691912706,0,712.05,0,8,17.18,1
34.15,4.0,0,578.3,0,6,39.58,1
34.58,60.0,2,1151.93,1,7,42.9,0
27.4,45.0,1,1384.05,1,1,14.58,0
24.01,88.0,1,1252.51,1,1,16.73,0
23.96,57.0,2,910.14,0,8,4.61,1
29.990843475581585,58.0,2,752.49,0,4,6.25,0
38.56,98.0,0,1076.53,0,6,8.4,0
27.35,63.0,1,845.74,1,2,30.9,0
38.34,49.436559691912706,0,511.53,1,5,4.66,1
29.15,57.0,2,862.64,1,4,11.36,0
33.55,37.0,1,1176.92,1,9,0.18,1
33.71,67.0,2,901.32,0,5,0.75,0
28.06,99.0,1,1330.67,0,5,15.37,0
35.33,6.0,2,955.66,1,5,24.26,0
40.97,11.0,0,1303.75,0,6,19.68,0
27.21,86.0,0,1207.92,1,8,17.6,0
29.990843475581585,18.0,1,1376.17,0,2,23.14581921773945,0
29.990843475581585,8.0,1,823.45,1,8,3.91,1
28.61,54.0,0,1308.53,1,6,13.79,1
29.74,49.0,2,1092.312002002773,0,2,11.03,1
20.69,67.0,2,780.23,1,3,24.49,0
26.97,58.0,0,1379.98,1,2,10.53,1
35.79,24.0,2,1423.39,0,2,1.24,0
22.48,3.0,2,1658.15,0,6,26.75,1
29.46,98.0,1,1482.41,0,5,32.51,0
31.47,52.0,1,1293.08,1,9,27.77,0
26.11,10.0,0,881.6,1,3,5.99,1
23.49,89.0,2,1083.56,1,1,0.41,0
40.88,48.0,0,806.93,1,2,23.14581921773945,0
26.9,20.0,1,1010.76,1,9,5.3,0
29.8,6.0,0,464.33,1,6,5.18,0
33.49,75.0,2,691.02,1,5,28.98,1
33.43,27.0,1,1180.41,0,3,9.81,0
30.22,40.0,0,1092.312002002773,0,9,14.03,1
39.51,9.0,2,1092.312002002773,1,2,1.69,1
32.94,30.0,2,472.34,0,5,13.67,0
28.36,98.0,0,840.79,0,2,9.91,0
26.04,0.0,0,673.39,1,8,16.96,1
28.75,70.0,1,1284.96,0,6,32.05,0
24.67,1.0,2,794.31,1,4,14.46,0
29.23,93.0,2,848.28,0,4,4.71,0
31.6,76.0,2,1480.39,0,6,59.61,0
29.89,5.0,2,1249.59,0,7,4.95,1
29.990843475581585,0.0,0,1430.39,0,2,82.01,0
31.39,61.0,2,975.04,0,4,66.6,1
25.86,5.0,2,615.97,1,4,37.57,0
38.45,10.0,0,1240.09,1,1,7.87,0
37.85,65.0,0,1092.312002002773,0,9,35.18,0
24.59,77.0,0,1013.76,1,7,10.66,1
25.47,8.0,0,730.5,1,3,31.8,0
29.990843475581585,1.0,1,1058.21,1,9,11.73,0
27.75,33.0,0,1153.39,1,7,22.35,1
29.3,21.0,1,601.8,0,9,1.0,1
34.94,97.0,0,384.36,1,6,0.49,1
29.990843475581585,43.0,0,1192.7,0,5,1.36,1
35.8,50.0,2,1286.27,0,4,2.58,1
22.58,23.0,1,695.58,1,9,11.92,0
22.69,64.0,0,1160.09,0,2,1.03,0
31.11,60.0,2,804.64,0,3,18.08,0
30.36,84.0,2,818.03,1,6,7.37,1
33.83,25.0,1,1806.86,0,3,4.24,0
31.07,5.0,2,499.11,1,4,4.0,0
43.93,47.0,2,745.16,0,3,15.48,0
33.05,58.0,0,982.06,1,4,3.01,0
26.36,44.0,0,936.34,0,2,3.13,0
29.21,49.0,2,1352.31,0,9,2.29,0
29.990843475581585,88.0,0,1503.53,1,7,16.9,0
30.95,80.0,1,815.96,1,3,14.96,0
29.990843475581585,37.0,0,896.24,0,5,10.75,0
25.89,49.436559691912706,0,507.21,0,7,7.87,1
26.4,60.0,1,949.26,1,1,5.76,0
37.0,71.0,0,675.59,0,4,1.52,1
29.13,82.0,1,1092.312002002773,0,1,30.19,0
32.15,98.0,2,1354.79,1,3,65.7,1
32.29,94.0,1,1140.82,1,2,3.77,0
32.99,37.0,0,651.66,1,7,30.1,1
31.17,65.0,0,1226.97,0,2,25.9,1
22.49,94.0,1,1167.3,0,5,34.19,0
19.54,82.0,0,918.12,1,2,4.24,1
33.86,34.0,1,1299.42,0,9,51.89,0
26.34,76.0,0,793.13,0,1,9.66,1
30.04,54.0,0,1092.312002002773,1,2,16.86,0
34.57,4.0,0,1003.23,1,7,41.57,1
16.81,80.0,0,970.14,1,8,23.14581921773945,0
31.31,2.0,1,1535.37,0,5,23.14581921773945,1
30.29,19.0,0,1159.61,1,4,4.21,1
34.38,46.0,1,1531.53,1,7,17.58,0
30.76,71.0,2,537.76,0,8,1.27,1
31.0,94.0,0,940.33,1,4,5.36,0
35.52,41.0,1,1150.06,1,7,37.97,0
24.81,54.0,0,1121.34,1,2,17.94,0
31.65,46.0,0,584.73,1,5,7.19,0
25.39,32.0,2,882.89,1,9,71.97,0
19.89,49.436559691912706,1,754.42,0,4,25.73,0
32.23,53.0,0,1096.78,0,2,20.42,0
32.86,31.0,2,926.78,0,8,2.26,0
30.62,17.0,0,854.49,0,9,65.95,1
27.12,94.0,0,1125.46,0,5,13.41,1
24.15,49.436559691912706,2,772.32,1,7,43.96,0
29.61,72.0,0,798.64,0,8,12.48,0
38.22,42.0,1,1092.312002002773,0,6,13.87,0
30.02,99.0,1,896.29,1,1,49.65,1
30.41,8.0,2,970.88,0,6,16.8,0
27.03,60.0,0,687.69,0,2,23.14581921773945,1
19.44,41.0,2,808.24,1,5,6.96,1
33.73,30.0,1,845.98,0,1,2.73,1
33.73,5.0,0,1564.89,1,5,12.87,0
39.15,52.0,0,940.69,0,4,15.89,1
31.98,48.0,1,1306.95,1,4,23.14581921773945,0
34.06,46.0,0,1231.68,0,8,38.49,1
32.47,63.0,1,1092.312002002773,1,2,11.58,0
25.65,38.0,2,1437.49,1,3,33.11,1
22.18,28.0,0,1092.312002002773,0,4,23.14581921773945,1
28.28,57.0,0,495.42,1,9,28.22,1
37.76,37.0,2,1266.16,0,2,3.66,0
31.37,28.0,0,909.45,1,4,21.5,1
30.16,17.0,0,706.63,1,1,3.05,0
35.63,80.0,2,900.36,0,2,2.95,0
35.25,19.0,1,1255.89,0,3,29.46,1
27.06,57.0,1,1388.1,0,7,3.64,0
24.65,59.0,0,932.1,1,6,54.03,0
28.03,69.0,2,745.92,1,4,23.14581921773945,1
28.24,78.0,2,1084.33,1,2,60.45,0
29.990843475581585,46.0,2,730.36,1,9,4.59,0
38.7,40.0,2,827.8,0,1,6.21,0
22.33,56.0,2,660.27,1,2,14.46,0
29.96,3.0,0,875.91,0,2,6.2,0
29.990843475581585,82.0,0,1103.02,0,6,12.75,0
28.87,33.0,1,1166.55,1,7,22.53,0
35.06,69.0,2,828.12,0,5,17.36,1
37.27,49.436559691912706,2,967.91,1,6,44.82,0
29.990843475581585,14.0,2,1440.22,0,1,0.85,1
26.47,26.0,1,442.73,0,6,14.62,0
39.26,76.0,2,1122.84,1,1,23.14581921773945,0
30.12,12.0,1,813.28,1,6,20.35,1
30.92,30.0,1,1045.16,1,8,14.34,0
32.18,48.0,0,1080.37,0,3,49.69,0
30.22,88.0,1,1408.98,1,8,1.68,0
37.95,3.0,0,1530.47,1,9,9.84,0
29.69,94.0,1,1238.5,0,2,5.68,0
22.09,73.0,2,677.26,1,1,24.98,1
24.98,46.0,2,849.93,1,2,17.05,0
29.41,30.0,0,927.4,1,2,29.24,0
35.86,11.0,2,973.47,0,1,3.78,1
26.03,16.0,2,758.27,0,6,7.04,0
39.04,45.0,1,695.64,0,4,28.1,0
28.69,45.0,0,1104.21,1,4,10.51,1
32.0,10.0,0,777.2,1,6,47.19,0
37.56,33.0,1,951.28,0,2,7.09,0
33.49,27.0,1,983.89,0,8,1.66,1
29.82,48.0,2,693.84,1,2,10.8,0
27.54,25.0,2,1137.04,1,7,34.81,1
29.990843475581585,63.0,2,1193.41,0,3,52.49,0
34.15,48.0,2,1483.46,1,9,21.23,1
33.11,36.0,1,1203.63,1,4,17.17,0
33.1,92.0,0,1092.312002002773,1,7,0.03,0
31.17,17.0,1,1107.45,0,2,38.77,1
29.990843475581585,13.0,0,907.7,1,4,9.69,1
34.95,85.0,1,578.52,0,8,10.21,0
28.27,68.0,1,842.64,1,8,7.14,0
28.15,19.0,1,887.46,1,1,23.14581921773945,0
26.05,1.0,2,1005.69,1,1,20.25,1
33.15,97.0,2,755.92,1,7,12.45,0
38.46,72.0,2,935.02,0,7,13.05,0
26.47,18.0,1,1315.37,1,9,38.45,0
39.48,99.0,1,831.69,0,1,77.68,1
31.2,21.0,2,1109.75,1,8,18.25,0
34.53,16.0,1,1041.16,0,5,20.37,0
31.07,26.0,2,1062.77,0,6,40.15,0
18.42,84.0,2,9227.2,0,5,13.67,1
28.8,43.0,0,1116.23,1,7,10.39,1
29.990843475581585,49.0,1,590.6,0,6,8.51,1
27.88,58.0,0,1322.91,0,2,26.85,0
29.990843475581585,28.0,2,1087.64,1,5,23.14581921773945,1
27.76,19.0,0,931.59,0,5,20.41,0
22.79,5.0,1,811.56,1,2,23.14581921773945,0
29.58,42.0,0,1035.04,0,8,55.67,0
37.83,29.0,2,1006.0,0,4,12.41,0
24.92,55.0,1,816.55,0,9,34.46,1
31.35,12.0,0,914.04,0,7,11.43,0
35.24,19.0,0,294.15,0,5,22.65,1
30.31,35.0,1,1168.5,1,1,88.87,1
33.14,58.0,2,961.19,0,2,42.42,0
32.44,82.0,1,1251.25,0,2,3.84,0
28.67,88.0,2,1009.21,0,6,62.18,0
31.76,40.0,0,1178.47,0,8,1.69,0
32.02,23.0,0,1092.312002002773,0,2,15.37,0
33.38,81.0,2,492.13,0,1,17.26,1
31.1,47.0,2,618.71,0,9,3.2,1
23.33,89.0,0,511.16,1,7,23.26,0
19.74,49.436559691912706,1,1517.92,0,5,0.98,0
30.67,91.0,2,1568.75,1,1,1.77,0
29.990843475581585,74.0,0,951.87,0,1,12.68,0
33.35,68.0,1,751.33,1,1,10.37,0
33.46,71.0,0,850.52,0,9,36.23,0
27.79,55.0,1,903.3,1,9,9.33,1
27.35,74.0,2,1376.41,0,4,1.22,0
30.06,14.0,0,878.04,0,3,1.37,0
26.45,9.0,0,758.04,0,6,17.3,0
30.1,24.0,0,1630.74,1,1,20.27,0
26.94,18.0,1,1092.312002002773,1,2,17.64,1
29.48,8.0,2,588.66,0,4,40.23,1
28.23,94.0,1,951.05,0,3,33.15,1
28.37,75.0,1,535.1,0,6,23.14581921773945,1
28.98,80.0,2,254.71,1,8,23.14581921773945,0
29.990843475581585,82.0,0,1040.39,1,4,3.78,1
28.86,20.0,1,1296.86,1,4,5.45,0
33.61,34.0,1,1059.69,1,1,16.02,0
27.73,22.0,0,1450.37,1,2,3.22,0
24.94,17.0,1,1426.23,0,9,23.14581921773945,0
26.49,82.0,0,897.27,0,1,1.72,1
32.34,49.436559691912706,0,1081.75,1,5,21.5,1
35.59,31.0,1,1462.23,1,2,31.3,0
22.5,65.0,0,1330.97,1,8,17.35,1
42.68,0.0,2,990.56,1,5,38.84,1
22.12,68.0,1,994.03,1,5,49.12,0
23.35,1.0,0,673.27,0,4,34.38,1
29.62,54.0,0,718.54,0,6,11.82,1
29.36,14.0,2,783.59,1,8,7.92,0
29.94,44.0,0,1328.47,0,3,29.61,0
39.4,60.0,1,663.72,0,3,22.36,0
23.19,33.0,0,862.43,0,9,33.51,1
26.74,14.0,1,532.17,0,4,13.5,0
29.28,58.0,0,951.61,0,2,20.48,0
39.1,12.0,2,1035.61,1,9,12.25,1
34.62,4.0,0,791.47,0,6,7.96,1
29.45,96.0,0,1039.64,0,9,83.5,0
26.93,16.0,1,199.57,0,3,16.3,0
29.990843475581585,36.0,1,1092.312002002773,1,8,27.47,0
32.72,55.0,2,1155.56,1,6,3.08,1
27.98,69.0,0,1224.99,1,7,0.35,0
23.23,49.436559691912706,0,1024.81,1,7,34.14,0
32.97,56.0,1,1213.83,0,8,2.13,1
36.12,18.0,2,525.0,1,2,11.05,0
17.4,54.0,2,934.29,0,1,2.56,0
30.59,5.0,2,1104.59,1,8,16.88,0
24.18,20.0,1,1084.88,0,2,36.03,0
26.16,44.0,1,956.49,0,7,15.98,1
31.45,8.0,0,914.1,0,5,20.02,0
27.91,57.0,1,1379.41,0,1,17.08,0
32.42,89.0,2,1661.2,1,3,6.48,1
33.8,64.0,1,583.75,1,7,17.04,0
26.18,58.0,2,1140.43,1,8,20.67,0
28.16,24.0,1,916.07,1,6,23.14581921773945,1
37.6,40.0,0,652.57,0,7,5.77,0
36.92,39.0,1,948.64,0,2,52.57,0
30.77,98.0,1,1219.35,0,5,57.76,1
21.42,63.0,1,1084.76,0,2,23.14581921773945,0
28.61,73.0,0,1295.62,0,4,4.79,0
29.83,77.0,2,1440.4,1,1,22.89,1
20.92,26.0,1,1021.01,1,5,13.37,1
35.73,29.0,2,1528.1,1,1,9.89,0
29.990843475581585,0.0,1,1041.4,0,2,2.28,0
25.33,66.0,2,890.29,0,1,0.22,1
38.38,66.0,0,1596.45,0,5,29.85,1
34.16,93.0,0,1407.79,1,4,11.21,0
33.86,66.0,2,572.05,0,8,17.46,1
29.27,67.0,1,739.98,0,9,0.78,0
31.25,91.0,0,1352.38,0,3,6.49,1
29.97,65.0,2,979.73,0,6,8.05,0
31.07,2.0,1,283.07,0,2,22.8,0
30.91,50.0,1,1092.312002002773,0,8,2.4,1
30.86,25.0,1,1447.24,1,6,797.25,0
32.36,60.0,1,1214.89,1,7,9.73,1
25.6,51.0,2,918.47,0,7,309.45,0
37.0,9.0,2,737.14,0,5,48.34,0
34.9,54.0,2,1092.312002002773,0,2,49.87,0
33.19,40.0,2,547.79,1,3,37.95,0
22.77,94.0,0,748.64,0,5,23.14581921773945,1
36.39,66.0,0,834.49,0,7,22.87,0
27.31,70.0,0,1444.09,0,2,0.59,1
35.09,28.0,1,549.14,0,3,0.74,1
38.77,97.0,2,718.32,1,3,20.42,0
23.46,24.0,2,890.57,0,9,6.73,0
32.13,52.0,1,1202.06,0,8,20.88,0
32.28,17.0,2,1252.03,0,2,17.06,0
32.99,74.0,1,995.85,0,1,21.86,1
27.93,53.0,1,881.06,1,3,5.96,1
33.27,33.0,0,950.5,0,6,22.73,0
25.28,90.0,2,681.78,0,5,24.67,1
33.2,58.0,1,1224.57,1,3,8.29,0
29.77,90.0,0,906.88,0,5,15.16,0
33.06,49.0,2,1069.25,1,5,1.59,1
24.26,10.0,0,979.24,1,1,6.82,1
22.6,49.436559691912706,0,792.78,1,9,17.14,1
38.78,10.0,0,717.28,1,8,15.43,0
37.64,29.0,0,437.78,1,6,4.53,1
26.02,60.0,0,271.36,1,3,74.81,0
29.990843475581585,68.0,1,987.11,0,9,13.57,0
27.36,35.0,2,993.11,1,8,33.06,1
32.55,62.0,2,1622.64,1,5,4.37,0
27.45,60.0,2,817.12,0,5,61.08,1
27.19,16.0,0,1539.98,0,7,19.37,1
22.03,49.436559691912706,2,9126.8,1,4,7.72,1
28.52,30.0,1,1108.29,0,7,8.9,0
25.83,22.0,0,905.86,0,2,7.91,1
36.92,98.0,0,890.93,0,1,10.69,1
25.64,97.0,1,1060.07,1,2,1.28,0
29.990843475581585,22.0,1,923.94,0,6,56.85,0
30.78,95.0,2,1133.84,0,8,12.42,0
28.16,27.0,1,909.3,0,8,131.7,0
26.79,73.0,1,997.12,0,3,5.32,1
34.67,35.0,0,939.45,1,9,33.13,0
35.63,67.0,1,845.02,1,3,23.14581921773945,1
45.59,49.436559691912706,1,1092.312002002773,1,1,23.14581921773945,1
30.03,45.0,0,975.47,1,7,21.08,0
32.88,8.0,1,1331.6,1,5,0.36,1
31.43,23.0,1,705.95,1,5,0.22,1
19.23,80.0,0,1164.98,0,9,48.09,1
30.29,74.0,2,1131.15,0,7,35.12,0
33.02,66.0,0,1017.89,0,9,44.52,0
30.8,17.0,0,496.35,0,8,17.73,1
31.61,93.0,0,685.07,0,8,43.11,1
30.04,49.436559691912706,2,864.69,1,8,36.2,0
22.13,19.0,2,1005.94,1,4,18.59,1
31.39,15.0,2,825.03,0,9,5.34,0
25.89,29.0,1,1143.99,0,7,10.17,0
29.990843475581585,58.0,1,1107.02,0,4,10.16,1
24.72,54.0,1,842.69,0,8,6.67,1
31.47,93.0,0,1228.73,0,4,5.55,1
25.68,52.0,1,665.88,0,5,68.55,0
25.02,10.0,0,1092.312002002773,0,6,16.94,0
30.52,59.0,2,776.24,0,4,20.59,1
28.84,51.0,0,274.51,1,7,21.21,0
27.21,49.436559691912706,0,585.78,1,1,12.32,1
33.97,49.436559691912706,0,759.15,1,8,3.09,0
31.96,79.0,1,1156.82,0,8,0.8,0
37.31,3.0,1,1092.312002002773,0,8,13.31,1
37.67,91.0,0,1333.14,1,5,34.33,0
33.81,18.0,2,1247.71,0,9,31.04,0
29.34,17.0,2,1321.5,0,2,32.72,0
31.32,69.0,0,803.16,1,3,0.57,1
33.15,84.0,2,1108.57,0,6,23.14,1
29.72,55.0,0,1285.37,0,4,23.14581921773945,1
33.64,46.0,2,1092.312002002773,0,5,23.0,1
32.18,56.0,0,1032.29,0,8,4.12,0
29.84,30.0,2,873.84,1,3,3.05,1
42.38,97.0,1,1173.44,0,1,364.05,1
28.13,20.0,2,1144.67,1,5,23.95,0
32.4,2.0,2,719.63,0,7,21.61,0
36.24,95.0,2,855.9,1,1,6.02,1
30.88,35.0,0,841.06,1,2,10.55,0
27.67,83.0,1,773.23,0,1,49.85,0
26.86,37.0,2,1588.67,0,7,19.0,0
29.51,49.436559691912706,1,1229.62,0,4,35.76,1
36.73,66.0,1,604.93,0,5,31.26,1
30.68,96.0,0,815.86,1,6,45.04,0
28.56,86.0,2,1092.312002002773,0,6,3.25,0
28.84,5.0,1,907.06,0,4,50.27,1
31.89,45.0,1,943.1,1,4,8.32,0
30.73,3.0,1,1092.312002002773,0,2,63.62,0
34.76,12.0,0,963.68,1,3,1.84,1
26.09,33.0,2,1252.94,0,2,33.26,1
27.71,78.0,2,1141.8,0,9,31.6,1
32.44,43.0,2,1098.16,1,7,18.43,1
23.68,23.0,2,887.08,0,5,6.5,0
26.73,95.0,1,1281.54,0,4,0.12,0
37.45,20.0,2,769.75,0,3,4.56,0
28.12,8.0,2,618.65,0,2,4.09,0
21.93,86.0,2,1072.05,0,5,12.99,0
28.47,26.0,2,1335.08,1,3,46.12,0
29.78,42.0,0,546.19,1,6,4.53,1
29.990843475581585,52.0,1,984.72,0,7,25.24,1
27.65,70.0,0,1092.312002002773,0,8,23.14581921773945,1
30.92,75.0,2,1299.5,0,8,55.11,0
25.46,90.0,0,778.14,1,1,7.08,0
22.13,12.0,1,751.3,0,5,1.13,0
31.93,83.0,1,1148.27,1,9,13.68,1
30.04,7.0,0,400.0,1,9,3.06,1
29.69,45.0,1,790.54,1,6,12.89,1
32.1,10.0,0,979.91,0,1,19.3,0
32.22,38.0,1,1050.42,1,8,6.97,0
31.37,40.0,0,940.16,0,8,5.23,0
29.82,78.0,2,807.61,1,9,1.1,1
27.26,95.0,0,966.22,0,4,7.42,1
30.49,72.0,0,1212.6,0,4,2.19,0
27.72,16.0,0,598.53,1,4,42.44,0
23.67,44.0,0,1132.19,0,5,0.94,0
40.12,97.0,1,931.59,1,3,93.94,0
26.57,11.0,0,568.93,1,9,18.79,1
35.06,63.0,0,644.59,1,9,30.83,1
21.97,37.0,1,1242.5,1,1,5.37,1
29.25,97.0,2,1161.27,1,2,6.85,0
32.79,36.0,2,282.44,0,2,15.55,0
29.26,55.0,2,747.79,0,9,29.68,1
32.98,38.0,2,909.83,1,6,0.65,1
26.61,71.0,0,1007.49,0,5,32.53,1
28.87,45.0,2,1417.46,1,3,1.48,0
32.22,87.0,1,1092.312002002773,1,7,8.76,0
25.01,76.0,0,865.51,1,8,14.27,0
29.91,58.0,1,715.78,1,7,40.01,0
26.84,91.0,0,1029.89,0,6,22.86,0
37.39,0.0,2,1114.38,1,6,10.92,1
29.990843475581585,93.0,0,839.56,0,6,23.14581921773945,0
47.14,89.0,2,855.02,1,8,40.49,1
33.18,1.0,0,1092.312002002773,1,8,5.8,0
35.62,78.0,1,1468.6,0,5,2.08,1
26.61,67.0,1,1120.48,1,4,23.14581921773945,1
29.95,31.0,1,1122.33,1,7,46.47,1
35.8,71.0,1,676.96,1,2,16.85,0
26.8,50.0,0,487.93,1,5,23.14581921773945,0
29.66,12.0,2,1009.04,0,4,2.25,0
